quest_id,language,name,detail,story
30002,ja,トリックスター,期間限定クエスト,
30003,ja,打ち下ろされる砕棒,期間限定クエスト,
30004,ja,危険な仲裁者,期間限定クエスト,
30005,ja,ニンゲンにしてあげる☆,期間限定クエスト,
30006,ja,それはお前を食べるためさ,期間限定クエスト,
30007,ja,ガラスの靴は私のもの,期間限定クエスト,
30008,ja,わたしの嫁を返してもらおう,期間限定クエスト,
30009,ja,復活の捕食者,1ターンに2タップしかできない！,
30010,ja,最大最凶,7チェインしないとCパネルができない！,
30011,ja,気怠い巨読者,1ターンに2タップしかできない！,
30012,ja,底なしの胃袋,ハートが出現しない！,
30013,ja,決戦・竜宮城,期間限定クエスト,
30014,ja,親指を突き立てろ！,5チェインでCパネルができる！,
30015,ja,兄妹の大冒険,期間限定クエスト,
30016,ja,私がワニの天敵よ？,期間限定クエスト,
30017,ja,狩人の挽歌,マルチプレイ限定！仲間と挑め！,
30018,ja,バックストリートファイト,コンティニュー不可！ハート無し！,
30019,ja,狙撃は終わらない,マルチプレイ限定！仲間と挑め！,
30020,ja,若造よ、身の程を知れ,コンティニュー不可！！,
30021,ja,野獣死すべしっ！,期間限定クエスト,
30022,ja,凶鼠ネコを咬む,期間限定クエスト,
30023,ja,隔離からのエスケイプ,期間限定クエスト,
30024,ja,雷鎚の選定,マルチプレイ限定！仲間と挑め！,
30025,ja,真実の探求者,コンティニュー不可！！,
30026,ja,道を阻む妖精夫婦,期間限定クエスト,
30027,ja,凍りつくまで愛してあげる,赤パネルが出現しない！,
30028,ja,最悪の刺客,期間限定クエスト,
30029,ja,全ては主のために,期間限定クエスト,
30030,ja,ここは誰の箱庭じゃ？,期間限定クエスト,
30031,ja,力への羨望,期間限定クエスト,
30032,ja,赤き竜の制裁,期間限定クエスト,
30033,ja,御館様の懐刀,期間限定クエスト,
30034,ja,孤高の焔翼,期間限定クエスト,
30035,ja,大鯨の呼び声,期間限定クエスト,
30036,ja,猛然たる炎獣使い,期間限定クエスト,
30037,ja,灯り火の麗人,期間限定クエスト,
30038,ja,毒絶神の願い,期間限定クエスト,
30039,ja,ゼロワン・ゲーム,期間限定クエスト,
30040,ja,闇ヨリ出ル魔獣,期間限定クエスト,
30041,ja,パラノイア・アート,青パネルが出現しない！,
30042,ja,馬中に赤兎あり！,ソロ限定（ハートなし）,
30043,ja,小さな破壊竜,青パネルが出現しない！,
30044,ja,冷酷なる遂行者,種族アニマル限定！,
30045,ja,れもん色の衝動,期間限定クエスト,
30046,ja,千利の道も一歩から！,期間限定クエスト,
30047,ja,終末の旋律,期間限定クエスト,
30048,ja,惑乱の双神使！？,期間限定クエスト,
30049,ja,鉄壁の子豚要塞,期間限定クエスト,
30050,ja,忍耐と服従,期間限定クエスト,
38101,ja,安多,期間限定クエスト,
39001,ja,雪の歌姫,初音ミク コラボクエスト,
39002,ja,黄巾賊の暴走を止めろ！,デュラララ!!　コラボクエスト,
39003,ja,ブルースクウェアを追え！,デュラララ!!　コラボクエスト,
39004,ja,ニムダのおきにいり♪,コラボクエスト,
39005,ja,ポ,コラボクエスト,
39006,ja,シガンシナ区攻防戦,コラボクエスト,
39007,ja,ニムダ（台）,コラボクエスト,
39008,ja,雪の歌姫,初音ミク コラボクエスト,
39009,ja,星空の歌姫,初音ミク コラボクエスト,
39010,ja,黄巾賊の暴走を止めろ！,デュラララ!!　コラボクエスト,
39011,ja,ブルースクウェアを追え！,デュラララ!!　コラボクエスト,
39012,ja,侵略！？にゃんこ軍団現る！,にゃんこ大戦争　コラボクエスト,
39013,ja,兄左,コラボクエスト,
39014,ja,金券,コラボクエスト,
40001,ja,アマテラス襲来！,襲来クエスト,
40002,ja,アザゼル襲来！,襲来クエスト,
40003,ja,ジャンヌ襲来！,コンテニューは1回のみ！,
40004,ja,宮本武蔵襲来！,コンテニューは1回のみ！,
40005,ja,オズ襲来！,コンテニューは1回のみ！,
40006,ja,アーサー襲来！,コンテニューは1回のみ！,
40007,ja,グリム襲来！,コンテニューは1回のみ！,
40008,ja,Gスター襲来！,コンテニューは1回のみ！,
40009,ja,フギンとムニン襲来！,コンテニューは1回のみ！,
40010,ja,フレイ襲来！,コンテニューは1回のみ！,
40011,ja,ヨミ襲来！,コンテニューは1回のみ！,
40012,ja,ショウキ襲来！,コンテニューは1回のみ！,
40013,ja,カーマ襲来！,コンテニューは1回のみ！,
40014,ja,シヴァ襲来！,コンテニューは1回のみ！,
40015,ja,ガレス襲来！,コンテニューは1回のみ！,
40016,ja,武田信玄襲来！,襲来クエスト,
40017,ja,ベルゼブブ襲来！,襲来クエスト,
40018,ja,ジーナ襲来！,襲来クエスト,
40019,ja,テュポーン襲来！,襲来クエスト,
40021,ja,ルイ16世襲来！,襲来クエスト,
40022,ja,オシリス襲来！,襲来クエスト,
40023,ja,武蔵坊弁慶襲来！,襲来クエスト,
40024,ja,アトラス襲来！,襲来クエスト,
40025,ja,ティアマト襲来！,襲来クエスト,
40026,ja,ミケランジェロ襲来！,襲来クエスト,
40027,ja,コルキス襲来！,緑パネルが出現しない！,
40028,ja,ルピカ襲来！,襲来クエスト,
40029,ja,カスケード襲来！,襲来クエスト,
40030,ja,エリス襲来！,襲来クエスト,
40031,ja,董卓襲来！,襲来クエスト,
40032,ja,貂蝉襲来！,襲来クエスト,
40033,ja,アテナ襲来！,コスト54以下ユニット限定！,
40034,ja,カーリー襲来！,襲来クエスト,
40035,ja,ブラフマー襲来！,襲来クエスト,
40036,ja,ウラヌス襲来！,種族ゴッド限定！,
40037,ja,デルピュネー襲来！,襲来クエスト,
40038,ja,太宰治襲来！,ハートパネルが出現しない！,
40039,ja,シェイクスピア襲来！,襲来クエスト,
40040,ja,竹中半兵衛襲来！,襲来クエスト,
40041,ja,ポーラとダニー襲来！,襲来クエスト,
40042,ja,ヘル襲来！,襲来クエスト,
40043,ja,ワカヒルメ襲来！,襲来クエスト,
40044,ja,ジキル&ハイド襲来！,襲来クエスト,
40045,ja,服部半蔵襲来！,襲来クエスト,
40046,ja,ゼノビア襲来！,襲来クエスト,
48001,ja,蛟龍襲来！,襲来クエスト,
48002,ja,孫悟空襲来！,襲来クエスト,
48003,ja,月下老人襲来！,襲来クエスト,
48004,ja,蛟龍襲来！,襲来クエスト,
48005,ja,孫悟空襲来！,襲来クエスト,
48006,ja,牛頭馬面襲来！,ハートパネルが出現しない！,
48007,ja,紅鬼襲来！,襲来クエスト,
48008,ja,紀昌襲来！,襲来クエスト,
48009,ja,藍采和襲来！,襲来クエスト,
48010,ja,バハムートダックより祝福を,襲来クエスト,
48011,ja,年獣襲来！,襲来クエスト,
48012,ja,張果老襲来！,襲来クエスト,
48013,ja,法海襲来！,襲来クエスト,
48014,ja,藍采和襲来！,襲来クエスト,
48015,ja,牛頭馬面襲来！,ハートパネルが出現しない！,
48016,ja,ソウコッキュウ襲来！,黄パネルが出現しない！,
48101,ja,喀耳刻襲来！,襲来クエスト,
48501,ja,ナーガ襲来！,襲来クエスト,
48502,ja,ヘルシング襲来！,襲来クエスト,
48503,ja,ナーガ襲来！,襲来クエスト,
48504,ja,サン＝テグジュペリ襲来！,襲来クエスト,
48701,ja,M.Dragon襲来！,襲来クエスト,
48702,ja,田禹治襲来！,襲来クエスト,
48703,ja,紅蓮襲来！,襲来クエスト,
41001,ja,アマテラス襲来！,襲来クエスト,
41002,ja,アザゼル襲来！,襲来クエスト,
41003,ja,ジャンヌ襲来！,襲来クエスト,
41004,ja,宮本武蔵襲来！,襲来クエスト,
41005,ja,オズ襲来！,襲来クエスト,
41006,ja,アーサー襲来！,襲来クエスト,
41007,ja,グリム襲来！,襲来クエスト,
41008,ja,Gスター襲来！,襲来クエスト,
41009,ja,フギンとムニン襲来！,襲来クエスト,
41010,ja,フレイ襲来！,黄パネルが出現しない！,
41011,ja,ヨミ襲来！,襲来クエスト,
41012,ja,ショウキ襲来！,襲来クエスト,
41013,ja,カーマ襲来！,ハートパネルが出現しない！,
41014,ja,シヴァ襲来！,襲来クエスト,
41015,ja,ガレス襲来！,襲来クエスト,
47001,ja,彦星襲来！,襲来クエスト,
47002,ja,夏☆襲来！,襲来クエスト,
47003,ja,ハロウィンナイトパニック！,襲来クエスト,
47004,ja,聖なる夜に祝福を,襲来クエスト,
47005,ja,年を越える儀式,襲来クエスト,
47006,ja,酉の初めはたまごから,黄パネルが出現しない！,
47007,ja,ツンデレ少女の恋心,緑パネルが出現しない！,
47008,ja,ふんわり少女の恋心,黄パネルが出現しない！,
47009,ja,夏☆襲来！,襲来クエスト,
47010,ja,僕の愛よあの子にとどけ！,ホワイトデー★特別クエスト,
47011,ja,ツンデレ少女にお返しを！,ホワイトデー★特別クエスト,
47012,ja,春呼ぶキミの行方,お花見★特別クエスト,
47013,ja,スカルズ襲来！,襲来クエスト/スコアアタック,
47014,ja,ヘルレイザー襲来！,襲来クエスト,
47015,ja,後光射す白無垢装束,ジューンブライド☆特別クエスト,
47016,ja,嫁入り道具はチェーンソー,ジューンブライド☆特別クエスト,
49001,ja,熱唱！初音ミクV3,コンティニューは1回のみ！,
49002,ja,園原杏里襲来！,襲来クエスト,
49003,ja,折原臨也襲来！,襲来クエスト,
49004,ja,サンリオ好きなのだーれだ♪,襲来クエスト,
49005,ja,襲来クエスト,襲来クエスト,
49006,ja,超大型巨人襲来！,襲来クエスト,
49007,ja,アザゼル（台）,襲来クエスト,
49008,ja,熱唱！初音ミクV3,初音ミク コラボクエスト,
49009,ja,電子音協奏曲,初音ミク コラボクエスト,
49010,ja,走り抜けろ！ALICE GP,青パネルが出現しない！,
49011,ja,秘密のイベント潜入作戦,初音ミク コラボクエスト,
49012,ja,園原杏里襲来！,襲来クエスト,
49013,ja,折原臨也襲来！,襲来クエスト,
49014,ja,ネコムート襲来！,にゃんこ大戦争　コラボクエスト,
49015,ja,スカー襲来！,鋼の錬金術師　コラボクエスト,
49016,ja,栗転,コラボクエスト,
50001,ja,麒麟襲来！,コンティニュー不可の極悪難易度！！,
50002,ja,オーディン襲来！,コンティニュー不可の極悪難易度！！,
50003,ja,織田信長襲来！,コンティニュー不可の極悪難易度！！,
50004,ja,ルシファー襲来！,コンティニュー不可の極悪難易度！！,
50005,ja,ゼウス襲来！,コンティニュー不可の極悪難易度！！,
50006,ja,セト襲来！,コンティニュー不可の極悪難易度！！,
50007,ja,ギルガメッシュ襲来！,コンティニュー不可の極悪難易度！！,
50008,ja,呂布襲来！,コンティニュー不可の極悪難易度！！,
50009,ja,ヘラ襲来！,コンティニュー不可の極悪難易度！！,
50010,ja,カフカ襲来！,コンティニュー不可の極悪難易度！！,
50011,ja,ヘラ襲来！,コンティニュー不可の極悪難易度！！,
50012,ja,豊臣秀吉襲来！,コンティニュー不可の極悪難易度！！,
50013,ja,ロキ襲来！,コンティニュー不可の極悪難易度！！,
50014,ja,スサノオ襲来！,コンティニュー不可の極悪難易度！！,
50015,ja,アンデルセン襲来！,コンティニュー不可の極悪難易度！！,
50016,ja,アレキサンダー襲来！,コンティニュー不可の極悪難易度！！,
51001,ja,麒麟襲来！,コンティニュー不可の極悪難易度！！,
51002,ja,オーディン襲来！,コンティニュー不可の極悪難易度！！,
58001,ja,曹操襲来！,コンティニュー不可の極悪難易度！！,
58002,ja,始皇贏政襲来！,コンティニュー不可の極悪難易度！！,
58003,ja,曹操襲来！,コンティニュー不可の極悪難易度！！,
58101,ja,路西法襲来！,コンティニュー不可の極悪難易度！！,
59001,ja,電子歌姫の堕天使,コンティニュー不可の極悪難易度！！,
59002,ja,狂乱のネコ降臨,コンティニュー不可の極悪難易度！！,
59003,ja,風雷,コンティニュー不可の極悪難易度！！,
60001,ja,ヘンペルチャレンジ,ランキングクエスト テスト1,
60002,ja,ヘンペルチャレンジ,ランキングクエスト テスト2,
60003,ja,ヘンペルチャレンジ,ランキングクエスト テスト3,
60004,ja,ヘンペルチャレンジ,ランキングクエスト テスト4,
60005,ja,オイラーチャレンジ,ランキングクエスト テスト5,
60006,ja,オイラーチャレンジ,ランキングクエスト,
60007,ja,オイラーチャレンジ,ランキングクエスト,
60010,ja,ラグランジュチャレンジ,ランキングクエスト,
60011,ja,ユークリッドチャレンジ,ランキングクエスト,
61011,ja,ユークリッドチャレンジコピー,ランキングクエスト,
60012,ja,ユークリッドチャレンジ,ランキングクエスト,
60013,ja,オイラーチャレンジ,ランキングクエスト,
60014,ja,クロネッカーチャレンジ,ヒューマン・マシンキラー注意！,
60015,ja,ラグランジュチャレンジ,ランキングクエスト,
60016,ja,シュレディンガーチャレンジ,ランキングクエスト,
60017,ja,ユークリッドチャレンジ,ランキングクエスト,
60018,ja,チューリングチャレンジ,ランキングクエスト,
60019,ja,ヘンペルチャレンジ,ランキングクエスト,
60020,ja,シュレディンガーチャレンジ,ランキングクエスト,
60025,ja,マリアチャレンジ,ランキングクエスト,
60026,ja,ハップルチャレンジ,ランキングクエスト,
60027,ja,チューリングチャレンジ,ランキングクエスト,
60028,ja,クロネッカーチャレンジ,ヒューマン・マシンキラー注意！,
60029,ja,オイラーチャレンジ,ランキングクエスト,
60030,ja,フロイトチャレンジ,ハートパネルが出現しない,
60031,ja,ヘンペルチャレンジ,ランキングクエスト,
60032,ja,ラグランジュチャレンジ,ランキングクエスト,
61001,ja,団結クエスト,団結クエスト,
65523,ja,【LB尾崎】検証クエスト,【LB尾崎】検証クエスト,
65524,ja,【LB田頭】検証クエスト,【LB田頭】検証クエスト,
65525,ja,【LB田邉】検証クエスト,【LB田邉】検証クエスト,
65526,ja,【LB加藤】検証クエスト,【LB加藤】検証クエスト,
65527,ja,【LB石川】検証クエスト,【LB石川】検証クエスト,
65528,ja,【LB保堂】検証クエスト,【LB保堂】検証クエスト,
65529,ja,【LB中原】検証クエスト,【LB中原】検証クエスト,
65530,ja,【LB渡邉】検証クエスト,【LB渡邉】検証クエスト,
65531,ja,【LB塚本】検証クエスト,【LB塚本】検証クエスト,
65532,ja,【LB山川】検証クエスト,【LB山川】検証クエスト,
65533,ja,【程塚】検証クエスト,【程塚】検証クエスト,
65534,ja,【LB大野】検証クエスト,【LB大野】検証クエスト,
65535,ja,１２３４５６７８９０１２３４５６７８９０１２３４５６７８９０,１２３４５６７８９０１２３４５６７８９０１２３４５６７８９０,
60021,ja,【月曜限定】 黄の素材verハンプ検証,ちびハンプティ検証,
60022,ja,【火曜限定】 赤の素材verハンプ検証,ちびハンプティ検証,
60023,ja,【水曜限定】 青の素材verハンプ検証,ちびハンプティ検証,
60024,ja,【木曜限定】 緑の素材verハンプ検証,ちびハンプティ検証,
