quest_id,image_filename,stage_sort,priority,tab_no
41004,quest41004.png,desc,4004,1
41005,quest41005.png,desc,4005,1
41006,quest41006.png,desc,4006,1
41007,quest41007.png,desc,4007,1
41008,quest41008.png,desc,4008,1
41009,quest41009.png,desc,4009,1
41010,quest41010.png,desc,4010,1
41011,quest41011.png,desc,4011,1
41012,quest41012.png,desc,4012,1
41013,quest41013.png,desc,4013,1
41014,quest41014.png,desc,4014,1
41015,quest41015.png,desc,4015,1
47001,quest47001.png,desc,32768,2
47002,quest47002.png,desc,32768,2
47003,quest47003.png,desc,32768,2
47004,quest47004.png,desc,32768,2
47005,quest47005.png,desc,32768,2
47006,quest47006.png,desc,32768,2
47007,quest47007.png,desc,32768,2
47008,quest47008.png,desc,32768,2
47009,quest47002.png,desc,32768,2
47010,quest47010.png,desc,32768,2
47011,quest47011.png,desc,32768,2
47012,quest47012.png,desc,32768,2
47013,quest47013.png,desc,32768,2
47014,quest47014.png,desc,32768,2
47015,quest47015.png,desc,32768,2
47016,quest47016.png,desc,32768,2
48003,quest48003.png,desc,4803,2
48004,quest48004.png,desc,4804,2
48005,quest48005.png,desc,4805,2
48006,quest48006.png,desc,4806,2
48012,quest48012.png,desc,4812,2
48013,quest48013.png,desc,4813,2
48014,quest48014.png,desc,4814,2
48015,quest48015.png,desc,4815,2
48016,quest48016.png,desc,4816,2
48101,quest48101.png,desc,4815,2
48502,quest48502.png,desc,4850,2
48503,quest48503.png,desc,4851,2
48504,quest48504.png,desc,4852,2
48701,quest48701.png,desc,4870,2
48702,quest48702.png,desc,4871,2
48703,quest48703.png,desc,4872,2
49001,quest49001.png,desc,1,2
49002,quest49002.png,desc,32766,2
49003,quest49003.png,desc,32766,2
49004,quest49004.png,desc,32767,2
49006,quest49006.png,desc,32769,2
49008,quest49001.png,desc,32770,2
49009,quest49009.png,desc,32770,2
49010,quest49010.png,desc,32770,2
49011,quest49011.png,desc,32770,2
49012,quest49002.png,desc,32766,2
49013,quest49003.png,desc,32766,2
49014,quest49014.png,desc,32771,2
49015,quest49015.png,desc,32772,2
49016,quest49016.png,desc,32773,2
50001,quest50001.png,desc,5001,1
50002,quest50002.png,desc,5002,1
50003,quest50003.png,desc,5003,1
50004,quest50004.png,desc,5004,1
50005,quest50005.png,desc,5005,1
50006,quest50006.png,desc,5006,1
50007,quest50007.png,desc,5007,1
50008,quest50008.png,desc,5008,1
50009,quest50009.png,desc,5009,1
50010,quest50010.png,desc,5010,1
50011,quest50009.png,desc,5011,1
50012,quest50012.png,desc,5012,1
50013,quest50013.png,desc,5013,1
50014,quest50014.png,desc,5014,1
50015,quest50015.png,desc,5015,1
50016,quest50016.png,desc,5016,1
51001,quest51001.png,desc,5001,1
51002,quest51002.png,desc,5002,1
58001,quest58001.png,desc,5003,2
58002,quest58002.png,desc,5004,2
58003,quest58003.png,desc,5003,2
58101,quest58101.png,desc,5005,2
59001,quest59001.png,desc,32770,2
59002,quest59002.png,desc,32771,2
59003,quest59003.png,desc,32772,2
60005,quest60005.png,desc,6005,2
60006,quest60006.png,desc,6006,2
60007,quest60006.png,desc,6006,2
60010,quest60010.png,desc,6010,2
60011,quest60011.png,desc,6011,2
61011,quest60011.png,desc,6011,2
60012,quest60011.png,desc,6011,2
60013,quest60013.png,desc,6013,2
60014,quest60014.png,desc,6014,2
60015,quest60015.png,desc,6015,2
60016,quest60016.png,desc,6016,2
60017,quest60011.png,desc,6017,2
60018,quest60018.png,desc,6018,2
60019,quest60019.png,desc,6019,2
60020,quest60020.png,desc,6020,2
60025,quest60025.png,desc,6025,2
60026,quest60026.png,desc,6026,2
60027,quest60018.png,desc,6027,2
60028,quest60028.png,desc,6028,2
60029,quest60029.png,desc,6029,2
60030,quest60030.png,desc,6030,2
60031,quest60031.png,desc,6031,2
60032,quest60032.png,desc,6032,2
61001,quest61001.png,desc,6101,2
65523,quest65523.png,desc,6100,0
65524,quest65524.png,desc,6101,0
65525,quest65525.png,desc,6028,0
65527,quest65527.png,desc,6028,2
65529,quest65529.png,desc,6029,2
65532,quest65532.png,desc,6028,2
65533,quest65533.png,desc,1,0
65534,quest65534.png,desc,6028,2
65535,quest65535.png,desc,1,0
11101,quest11101_3.png,desc,1115,0
11102,quest11102_3.png,desc,1114,0
11103,quest11103_3.png,desc,1113,0
11104,quest11104_3.png,desc,1112,0
11105,quest11105_2.png,desc,1111,0
11106,quest11006.png,desc,1106,0
11206,quest11006.png,desc,1106,0
11016,quest11016.png,desc,3999,0
11017,quest11017.png,desc,4915,0
11018,quest11018.png,desc,3999,0
11207,quest11207_3.png,desc,32766,0
11208,quest11208.png,desc,32766,0
11209,quest11209.png,desc,32766,0
11210,quest11210.png,desc,32766,2
11211,quest11210.png,desc,32766,0
11212,quest11212.png,desc,32767,2
11213,quest11213.png,desc,32766,0
11214,quest11214.png,desc,2999,2
11215,quest11215.png,desc,9002,2
11216,quest11216.png,desc,32767,2
11217,quest11217.png,desc,32767,2
11218,quest11218.png,desc,32767,2
11219,quest11219.png,desc,32767,2
11220,quest11220.png,desc,32767,2
11221,quest11221.png,desc,32767,2
11224,quest11224.png,desc,32767,2
11225,quest11225.png,desc,32767,2
11226,quest11226_2.png,asc,32767,2
11227,quest11227.png,desc,32767,2
11228,quest11218.png,desc,32767,2
11229,quest11220.png,desc,32767,2
11230,quest11230.png,desc,32767,2
11231,quest11231.png,desc,32767,2
14001,quest14001.png,desc,6,0
14004,quest14004.png,desc,3,0
14002,quest14002.png,desc,5,0
14005,quest14005.png,desc,2,0
14003,quest14003.png,asc,4,0
14006,quest14006.png,asc,1,0
60021,quest11001.png,desc,1,0
