achievement_id,language,title,detail,message
L0005,ja,リンク x 500,ミッション達成報酬,ミッション達成報酬で 【リンク x 500】 をゲット！
L0006,ja,リンク x 600,ミッション達成報酬,ミッション達成報酬で 【リンク x 600】 をゲット！
L0007,ja,リンク x 700,ミッション達成報酬,ミッション達成報酬で 【リンク x 700】 をゲット！
L0010,ja,リンク x 1000,ミッション達成報酬,ミッション達成報酬で 【リンク x 1000】 をゲット！
L0015,ja,リンク x 1500,ミッション達成報酬,ミッション達成報酬で 【リンク x 1500】 をゲット！
L0020,ja,リンク x 2000,ミッション達成報酬,ミッション達成報酬で 【リンク x 2000】 をゲット！
L0030,ja,リンク x 3000,ミッション達成報酬,ミッション達成報酬で 【リンク x 3000】 をゲット！
B0001,ja,ビット x 1000,ミッション達成報酬,ミッション達成報酬で 【ビット x 1000】 をゲット！
B0002,ja,ビット x 2000,ミッション達成報酬,ミッション達成報酬で 【ビット x 2000】 をゲット！
B0003,ja,ビット x 3000,ミッション達成報酬,ミッション達成報酬で 【ビット x 3000】 をゲット！
B0004,ja,ビット x 4000,ミッション達成報酬,ミッション達成報酬で 【ビット x 4000】 をゲット！
B0005,ja,ビット x 5000,ミッション達成報酬,ミッション達成報酬で 【ビット x 5000】 をゲット！
B0006,ja,ビット x 6000,ミッション達成報酬,ミッション達成報酬で 【ビット x 6000】 をゲット！
B0007,ja,ビット x 7000,ミッション達成報酬,ミッション達成報酬で 【ビット x 7000】 をゲット！
B0008,ja,ビット x 8000,ミッション達成報酬,ミッション達成報酬で 【ビット x 8000】 をゲット！
B0009,ja,ビット x 9000,ミッション達成報酬,ミッション達成報酬で 【ビット x 9000】 をゲット！
B0010,ja,ビット x 10000,ミッション達成報酬,ミッション達成報酬で 【ビット x 10000】 をゲット！
B0020,ja,ビット x 20000,ミッション達成報酬,ミッション達成報酬で 【ビット x 20000】 をゲット！
WB005,ja,ビット x 5000,週間ミッション達成報酬,週間ミッション達成報酬で 【ビット x 5000】 をゲット！
WB010,ja,ビット x 10000,週間ミッション達成報酬,週間ミッション達成報酬で 【ビット x 10000】 をゲット！
WB025,ja,ビット x 25000,週間ミッション達成報酬,週間ミッション達成報酬で 【ビット x 25000】 をゲット！
WB030,ja,ビット x 30000,週間ミッション達成報酬,週間ミッション達成報酬で 【ビット x 30000】 をゲット！
WB050,ja,ビット x 50000,週間ミッション達成報酬,週間ミッション達成報酬で 【ビット x 50000】 をゲット！
WB060,ja,ビット x 60000,週間ミッション達成報酬,週間ミッション達成報酬で 【ビット x 60000】 をゲット！
WB100,ja,ビット x 100000,週間ミッション達成報酬,週間ミッション達成報酬で 【ビット x 100000】 をゲット！
WB200,ja,ビット x 200000,週間ミッション達成報酬,週間ミッション達成報酬で 【ビット x 200000】 をゲット！
WB300,ja,ビット x 300000,週間ミッション達成報酬,週間ミッション達成報酬で 【ビット x 300000】 をゲット！
WB400,ja,ビット x 400000,週間ミッション達成報酬,週間ミッション達成報酬で 【ビット x 400000】 をゲット！
WU1211,ja,攻めの果実 x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【攻めの果実 x 1】 をゲット！
WU1212,ja,攻めの果実 x 2,週間ミッション達成報酬,週間ミッション達成報酬で 【攻めの果実 x 2】 をゲット！
WU1213,ja,攻めの果実 x 3,週間ミッション達成報酬,週間ミッション達成報酬で 【攻めの果実 x 3】 をゲット！
WU1215,ja,攻めの果実 x 5,週間ミッション達成報酬,週間ミッション達成報酬で 【攻めの果実 x 5】 をゲット！
WU1221,ja,生命の果実 x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【生命の果実 x 1】 をゲット！
WU1222,ja,生命の果実 x 2,週間ミッション達成報酬,週間ミッション達成報酬で 【生命の果実 x 2】 をゲット！
WU1223,ja,生命の果実 x 3,週間ミッション達成報酬,週間ミッション達成報酬で 【生命の果実 x 3】 をゲット！
WU1225,ja,生命の果実 x 5,週間ミッション達成報酬,週間ミッション達成報酬で 【生命の果実 x 5】 をゲット！
WU1231,ja,癒しの果実 x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【癒しの果実 x 1】 をゲット！
WU1232,ja,癒しの果実 x 2,週間ミッション達成報酬,週間ミッション達成報酬で 【癒しの果実 x 2】 をゲット！
WU1233,ja,癒しの果実 x 3,週間ミッション達成報酬,週間ミッション達成報酬で 【癒しの果実 x 3】 をゲット！
WU1235,ja,癒しの果実 x 5,週間ミッション達成報酬,週間ミッション達成報酬で 【癒しの果実 x 5】 をゲット！
WU3321,ja,炎のメタルピヨピヨ x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【炎のメタルピヨピヨ x 1】 をゲット！
WU3331,ja,炎のメタルチック x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【炎のメタルチック x 1】 をゲット！
WU3341,ja,炎のメタルダック x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【炎のメタルダック x 1】 をゲット！
WU3351,ja,炎のメタルジェントル x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【炎のメタルジェントル x 1】 をゲット！
WU3352,ja,炎のメタルジェントル x 5,週間ミッション達成報酬,週間ミッション達成報酬で 【炎のメタルジェントル x 5】 をゲット！
WU3361,ja,森のメタルピヨピヨ x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【森のメタルピヨピヨ x 1】 をゲット！
WU3371,ja,森のメタルチック x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【森のメタルチック x 1】 をゲット！
WU3381,ja,森のメタルダック x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【森のメタルダック x 1】 をゲット！
WU3391,ja,森のメタルジェントル x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【森のメタルジェントル x 1】 をゲット！
WU3392,ja,森のメタルジェントル x 5,週間ミッション達成報酬,週間ミッション達成報酬で 【森のメタルジェントル x 5】 をゲット！
WU3401,ja,水のメタルピヨピヨ x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【水のメタルピヨピヨ x 1】 をゲット！
WU3411,ja,水のメタルチック x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【水のメタルチック x 1】 をゲット！
WU3421,ja,水のメタルダック x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【水のメタルダック x 1】 をゲット！
WU3431,ja,水のメタルジェントル x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【水のメタルジェントル x 1】 をゲット！
WU3441,ja,雷のメタルピヨピヨ x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【雷のメタルピヨピヨ x 1】 をゲット！
WU3451,ja,雷のメタルチック x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【雷のメタルチック x 1】 をゲット！
WU3461,ja,雷のメタルダック x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【雷のメタルダック x 1】 をゲット！
WU3471,ja,雷のメタルジェントル x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【雷のメタルジェントル x 1】 をゲット！
WU3481,ja,水のメタルジェントル x 3,ミッション達成報酬,ミッション達成報酬で 【水のメタルジェントル x 3】 をゲット！
WU3491,ja,森のメタルジェントル x 3,ミッション達成報酬,ミッション達成報酬で 【森のメタルジェントル x 3】 をゲット！
WU1251,ja,秘術の果実 x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【秘術の果実 x 1】 をゲット！
WU6071,ja,メガ攻めの果実 x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【メガ攻めの果実 x 1】 をゲット！
WU6081,ja,メガ生命の果実 x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【メガ生命の果実 x 1】 をゲット！
WU6091,ja,メガ癒しの果実 x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【メガ癒しの果実 x 1】 をゲット！
WU6101,ja,メガ秘術の果実 x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【メガ秘術の果実 x 1】 をゲット！
WU6111,ja,ギガ攻めの果実 x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【ギガ攻めの果実 x 1】 をゲット！
WU6121,ja,ギガ生命の果実 x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【ギガ生命の果実 x 1】 をゲット！
WU6131,ja,ギガ癒しの果実 x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【ギガ癒しの果実 x 1】 をゲット！
WU6141,ja,ギガ秘術の果実 x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【ギガ秘術の果実 x 1】 をゲット！
WL002,ja,リンク x 200,週間ミッション達成報酬,週間ミッション達成報酬で 【リンク x 200】 をゲット！
WL003,ja,リンク x 300,週間ミッション達成報酬,週間ミッション達成報酬で 【リンク x 300】 をゲット！
WL004,ja,リンク x 400,週間ミッション達成報酬,週間ミッション達成報酬で 【リンク x 400】 をゲット！
WL005,ja,リンク x 500,週間ミッション達成報酬,週間ミッション達成報酬で 【リンク x 500】 をゲット！
WL006,ja,リンク x 600,週間ミッション達成報酬,週間ミッション達成報酬で 【リンク x 600】 をゲット！
WL010,ja,リンク x 1000,週間ミッション達成報酬,週間ミッション達成報酬で 【リンク x 1000】 をゲット！
WP001,ja,ポリゴン x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【ポリゴン x 1】 をゲット！
WP002,ja,ポリゴン x 2,週間ミッション達成報酬,週間ミッション達成報酬で 【ポリゴン x 2】 をゲット！
WP003,ja,ポリゴン x 3,週間ミッション達成報酬,週間ミッション達成報酬で 【ポリゴン x 3】 をゲット！
WP004,ja,ポリゴン x 4,週間ミッション達成報酬,週間ミッション達成報酬で 【ポリゴン x 4】 をゲット！
WP005,ja,ポリゴン x 5,週間ミッション達成報酬,週間ミッション達成報酬で 【ポリゴン x 5】 をゲット！
WU8372,ja,リトルハンプティ x 1,週間ミッション達成報酬,週間ミッション達成報酬で 【リトルハンプティ x 1】 をゲット！
WI500,ja,マスターキー x 3,週間ミッション達成報酬,週間ミッション達成報酬で 【マスターキー x 3】 をゲット！
WU6102,ja,ギガ秘術の果実 x 2,週間ミッション達成報酬,週間ミッション達成報酬で 【ギガ秘術の果実 x 2】 をゲット！
WB1000,ja,ビット x 1000000,週間ミッション達成報酬,週間ミッション達成報酬で 【ビット x 1000000】 をゲット！
WU6122,ja,ギガ生命の果実 x 3,週間ミッション達成報酬,週間ミッション達成報酬で 【ギガ生命の果実 x 3】 をゲット！
WU6132,ja,ギガ癒しの果実 x 3,週間ミッション達成報酬,週間ミッション達成報酬で 【ギガ癒しの果実 x 3】 をゲット！
WU6112,ja,ギガ攻めの果実 x 3,週間ミッション達成報酬,週間ミッション達成報酬で 【ギガ攻めの果実 x 3】 をゲット！
WB2000,ja,ビット x 2000000,週間ミッション達成報酬,週間ミッション達成報酬で 【ビット x 2000000】 をゲット！
WU8373,ja,リトルハンプティ x 2,週間ミッション達成報酬,週間ミッション達成報酬で 【リトルハンプティ x 2】 をゲット！
MK553,ja,雪ミク2016 x 1,ミッション達成報酬,ミッション達成報酬で 【雪ミク2016 x 1】 をゲット！
MK555,ja,雪ミク2014 x 1,ミッション達成報酬,ミッション達成報酬で 【雪ミク2014 x 1】 をゲット！
T00001,ja,二つ名 <歩き始めた>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <歩き始めた>】 をゲット！
T00002,ja,二つ名 <クラフィっ子>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <クラフィっ子>】 をゲット！
T00003,ja,二つ名 <新人>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <新人>】 をゲット！
T00004,ja,二つ名 <ひよっこクラファー>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <ひよっこクラファー>】 をゲット！
T00005,ja,二つ名 <上を目指す>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <上を目指す>】 をゲット！
T00006,ja,二つ名 <アマクラファー>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <アマクラファー>】 をゲット！
T00007,ja,二つ名 <一般>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <一般>】 をゲット！
T00008,ja,二つ名 <クラファー>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <クラファー>】 をゲット！
T00009,ja,二つ名 <立派な>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <立派な>】 をゲット！
T00010,ja,二つ名 <クラファー先輩>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <クラファー先輩>】 をゲット！
T00011,ja,二つ名 <ハイスペック>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <ハイスペック>】 をゲット！
T00012,ja,二つ名 <クラファー先生>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <クラファー先生>】 をゲット！
T00013,ja,二つ名 <憧れの>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <憧れの>】 をゲット！
T00014,ja,二つ名 <プロクラファー>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <プロクラファー>】 をゲット！
T00015,ja,二つ名 <カリスマ>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <カリスマ>】 をゲット！
T00016,ja,二つ名 <クラファー名人>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <クラファー名人>】 をゲット！
T00017,ja,二つ名 <伝説の>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <伝説の>】 をゲット！
T00018,ja,二つ名 <クラファー王>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <クラファー王>】 をゲット！
T00019,ja,二つ名 <超越的な>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <超越的な>】 をゲット！
T00020,ja,二つ名 <クラファー狂>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <クラファー狂>】 をゲット！
T00021,ja,二つ名 <偉大な>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <偉大な>】 をゲット！
T00022,ja,二つ名 <クラファー帝>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <クラファー帝>】 をゲット！
T00023,ja,二つ名 <マスターオブ>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <マスターオブ>】 をゲット！
T00024,ja,二つ名 <クラファー仙人>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <クラファー仙人>】 をゲット！
T00025,ja,二つ名 <集め始めた>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <集め始めた>】 をゲット！
T00026,ja,二つ名 <ファン>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <ファン>】 をゲット！
T00027,ja,二つ名 <巷で噂の>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <巷で噂の>】 をゲット！
T00028,ja,二つ名 <マニア>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <マニア>】 をゲット！
T00029,ja,二つ名 <手当たり次第の>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <手当たり次第の>】 をゲット！
T00030,ja,二つ名 <コレクター>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <コレクター>】 をゲット！
T00031,ja,二つ名 <博識の>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <博識の>】 をゲット！
T00032,ja,二つ名 <マイスター>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <マイスター>】 をゲット！
T00033,ja,二つ名 <知りすぎた>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <知りすぎた>】 をゲット！
T00034,ja,二つ名 <プロフェッサー>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <プロフェッサー>】 をゲット！
T00035,ja,二つ名 <果て無き道の>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <果て無き道の>】 をゲット！
T00036,ja,二つ名 <インデックス>,ミッション達成報酬,ミッション達成報酬で 【二つ名 <インデックス>】 をゲット！
