achievement_criterion_id,achievement_criterion_type,achievement_criterion_value,achievement_criterion_count,next_id
CQ0075,unconditional_completed,line://msg/text/%E3%80%90%E5%88%9D%E9%9F%B3%E3%83%9F%E3%82%AF%C3%97%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%80%91%E3%82%B3%E3%83%A9%E3%83%9C%E9%96%8B%E5%82%AC%E4%B8%AD%EF%BC%81%E4%BB%8A%E3%81%A0%E3%81%91%E3%80%8E%E9%9B%AA%E3%83%9F%E3%82%AF%E3%80%8F%E3%81%AA%E3%81%A9%E3%81%AE%E3%82%B3%E3%83%A9%E3%83%9C%E3%83%A6%E3%83%8B%E3%83%83%E3%83%88%E3%82%84%E3%83%9D%E3%83%AA%E3%82%B4%E3%83%B3%E5%90%88%E8%A8%8839%E5%80%8B%E3%81%8C%E3%82%B2%E3%83%83%E3%83%88%E3%81%A7%E3%81%8D%E3%81%A1%E3%82%83%E3%81%86%E2%99%AA%E3%83%9F%E3%82%AF%E8%89%B2%E3%81%AB%E6%9F%93%E3%81%BE%E3%81%A3%E3%81%9F%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%81%AE%E4%B8%96%E7%95%8C%E3%81%B8%EF%BC%81%E3%80%90%E3%83%96%E3%83%83%E5%BF%AB%E6%84%9F%E2%99%AA%E3%80%91http%3A%2F%2Fcrashfever.com%2Fletsplay,1,NULL
CQ0076,unconditional_completed,twitter://post?message=%E3%80%90%E5%88%9D%E9%9F%B3%E3%83%9F%E3%82%AF%C3%97%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%80%91%E3%82%B3%E3%83%A9%E3%83%9C%E9%96%8B%E5%82%AC%E4%B8%AD%EF%BC%81%E4%BB%8A%E3%81%A0%E3%81%91%E3%80%8E%E9%9B%AA%E3%83%9F%E3%82%AF%E3%80%8F%E3%81%AA%E3%81%A9%E3%81%AE%E3%82%B3%E3%83%A9%E3%83%9C%E3%83%A6%E3%83%8B%E3%83%83%E3%83%88%E3%82%84%E3%83%9D%E3%83%AA%E3%82%B4%E3%83%B3%E5%90%88%E8%A8%8839%E5%80%8B%E3%81%8C%E3%82%B2%E3%83%83%E3%83%88%E3%81%A7%E3%81%8D%E3%81%A1%E3%82%83%E3%81%86%E2%99%AA%E3%83%9F%E3%82%AF%E8%89%B2%E3%81%AB%E6%9F%93%E3%81%BE%E3%81%A3%E3%81%9F%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%81%AE%E4%B8%96%E7%95%8C%E3%81%B8%EF%BC%81%E3%80%90%E3%83%96%E3%83%83%E5%BF%AB%E6%84%9F%E2%99%AA%E3%80%91http%3A%2F%2Fcrashfever.com%2Fletsplay%0D%0A%23%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3,1,NULL
CQ0077,specific_quest_clear,47007-1,1,NULL
CQ0078,specific_quest_clear,47007-2,1,NULL
CQ0079,specific_quest_clear,47008-1,1,NULL
CQ0080,specific_quest_clear,47008-2,1,NULL
CQ0081,specific_unit_aquired_count,1364,10,NULL
CQ0082,specific_unit_aquired_count,1364,20,NULL
CQ0083,specific_unit_aquired_count,1364,30,NULL
CQ0084,specific_unit_aquired_count,1351,10,NULL
CQ0085,specific_unit_aquired_count,1351,20,NULL
CQ0086,specific_unit_aquired_count,1351,30,NULL
CQ0087,specific_quest_clear,11228-1,NULL,NULL
CQ0088,specific_quest_clear,60028-1,NULL,NULL
CQ0089,specific_quest_clear,47010-1,1,NULL
CQ0090,specific_quest_clear,47010-2,1,NULL
CQ0091,specific_unit_aquired_count,1407,5,NULL
CQ0092,specific_unit_aquired_count,1407,15,NULL
CQ0093,specific_unit_aquired_count,1407,30,NULL
CQ0094,specific_unit_aquired_count,1407,50,NULL
CQ0095,specific_unit_aquired_count,1407,70,NULL
CQ0096,specific_quest_clear,39012-1,1,NULL
CQ0097,specific_quest_clear,39012-2,1,NULL
CQ0098,specific_quest_clear,39012-3,1,NULL
CQ0099,specific_quest_clear,39012-4,1,NULL
CQ0100,specific_quest_clear,39012-5,1,NULL
CQ0101,specific_quest_clear,49014-1,1,NULL
CQ0102,specific_quest_clear,49014-2,1,NULL
CQ0103,specific_quest_clear,59002-1,1,NULL
CQ0104,specific_unit_aquired_count,1497,5,NULL
CQ0105,specific_unit_aquired_count,1497,15,NULL
CQ0106,specific_unit_aquired_count,1497,30,NULL
CQ0107,specific_unit_aquired_count,1497,50,NULL
CQ0108,specific_unit_aquired_count,1497,70,NULL
CQ0109,specific_quest_clear,47012-1,1,NULL
CQ0110,specific_quest_clear,47012-2,1,NULL
CQ0111,specific_quest_clear,60029-1,1,NULL
CQ0112,specific_quest_clear,47013-1,1,NULL
CQ0113,specific_quest_clear,47013-2,1,NULL
CQ0114,specific_quest_clear,47013-4,1,NULL
CQ0115,specific_quest_clear,60031-1,1,NULL
CQ0116,specific_quest_clear,60030-1,1,NULL
CQ0117,specific_quest_clear,49015-1,1,NULL
CQ0118,specific_quest_clear,49015-2,1,NULL
CQ0119,specific_quest_clear,49015-3,1,NULL
CQ0120,specific_quest_clear,47004-4,1,NULL
CQ0121,specific_quest_clear,47006-2,1,NULL
CQ0122,specific_quest_clear,47014-1,1,NULL
CQ0123,specific_quest_clear,47014-2,1,NULL
CQ0124,specific_quest_clear,47014-3,1,NULL
CQ0125,specific_quest_clear,60032-1,1,NULL
CQ0126,specific_quest_clear,47015-3,1,NULL
CQ0127,specific_quest_clear,47016-3,1,NULL
CQ9999,specific_quest_clear,65525-1,1,NULL
CQ2222,other_applications_mission_completed,Nyanko:001,1,NULL
CQ2223,other_applications_mission_completed,Nyanko:002,1,NULL
E0001,tutorial_completed,1,1,NULL
E0002,rare_gacha_completed,1,1,NULL
E0003,unit_enhance_count,1,1,NULL
E0004,unit_level,15,1,NULL
E0005,unit_evolution_count,1,1,NULL
E0006,unit_level,45,1,NULL
R0001,player_rank,10,1,3002
R0002,player_rank,15,1,3003
R0003,player_rank,20,1,3004
R0004,player_rank,25,1,3005
R0005,player_rank,30,1,3006
R0006,player_rank,35,1,3007
R0007,player_rank,40,1,3008
R0008,player_rank,45,1,3009
R0009,player_rank,50,1,NULL
F0001,friend_count,1,1,4002
F0003,friend_count,3,1,4002
F0005,friend_count,5,1,4002
F0010,friend_count,10,1,4003
F0020,friend_count,20,1,4004
F0030,friend_count,30,1,4005
F0040,friend_count,40,1,4006
F0050,friend_count,50,1,NULL
M0001,multiplay_count,1,1,NULL
O0001,review_completed,1,1,NULL
O0002,follow_completed,1,1,NULL
O0003,join_community_completed,1,1,NULL
O0004,unconditional_completed,1,1,NULL
O0005,unconditional_completed,1,1,NULL
O0006,backup_completed,1,1,NULL
O0007,unconditional_completed,twitter://post?message=%E4%B8%96%E7%95%8C%E3%81%A7%E6%9C%80%E3%82%82%E6%B0%97%E6%8C%81%E3%81%A1%E3%82%A4%E3%82%A4%EF%BC%814%E4%BA%BA%E5%8D%94%E5%8A%9B%E3%83%91%E3%82%BA%E3%83%ABRPG%E5%A7%8B%E3%82%81%E3%82%88%E3%81%86%EF%BC%81%0D%0A%E8%B6%85%E7%B5%B6%E5%BF%AB%E6%84%9F%E3%83%91%E3%82%BA%E3%83%ABRPG%E3%80%8C%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%80%8D%0D%0A%E3%80%8C%E3%83%87%E3%83%A5%E3%83%A9%E3%83%A9%E3%83%A9%21%21%C3%972%E3%80%8D%E3%82%B3%E3%83%A9%E3%83%9C%E9%96%8B%E5%82%AC%E4%B8%AD%EF%BC%81%0D%0A%E3%82%A4%E3%83%B3%E3%82%B9%E3%83%88%E3%83%BC%E3%83%AB%E3%81%AF%E3%81%93%E3%81%A1%E3%82%89%E2%86%93%E2%86%93%0D%0Ahttp%3A%2F%2Fcrashfever.com%2Finstall%20%0D%0A%23%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%80%80%23%E3%83%87%E3%83%A5%E3%83%A9%E3%83%A9%E3%83%A9,1,NULL
O0008,unconditional_completed,line://msg/text/%E4%B8%96%E7%95%8C%E3%81%A7%E6%9C%80%E3%82%82%E6%B0%97%E6%8C%81%E3%81%A1%E3%82%A4%E3%82%A4%EF%BC%814%E4%BA%BA%E5%8D%94%E5%8A%9B%E3%83%91%E3%82%BA%E3%83%ABRPG%E5%A7%8B%E3%82%81%E3%82%88%E3%81%86%EF%BC%81%0D%0A%E8%B6%85%E7%B5%B6%E5%BF%AB%E6%84%9F%E3%83%91%E3%82%BA%E3%83%ABRPG%E3%80%8C%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%80%8D%0D%0A%E3%80%8C%E3%83%87%E3%83%A5%E3%83%A9%E3%83%A9%E3%83%A9%21%21%C3%972%E3%80%8D%E3%82%B3%E3%83%A9%E3%83%9C%E9%96%8B%E5%82%AC%E4%B8%AD%EF%BC%81%0D%0A%E3%82%A4%E3%83%B3%E3%82%B9%E3%83%88%E3%83%BC%E3%83%AB%E3%81%AF%E3%81%93%E3%81%A1%E3%82%89%E2%86%93%E2%86%93%0D%0Ahttp%3A%2F%2Fcrashfever.com%2Finstall%20,1,NULL
O0009,unconditional_completed,https://game8.jp/games/303?utm_source=CrushFeverApp&utm_medium=refferal&utm_campaign=CrufMission,1,NULL
O0010,unconditional_completed,twitter://post?message=%E3%80%90%E3%83%96%E3%83%83%E5%BF%AB%E6%84%9F%E3%83%BC%E2%99%AA%E3%80%91%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BCTVCM%E5%85%A8%E5%9B%BD%E6%94%BE%E9%80%81%E8%A8%98%E5%BF%B5%E2%98%85%E3%82%82%E3%82%8C%E3%81%AA%E3%81%8F%E5%85%A8%E5%93%A1%E3%83%9D%E3%83%AA%E3%82%B4%E3%83%B3%E5%A4%A7%E9%87%8F%E9%85%8D%E5%B8%83%E4%B8%AD%21%21%20CM%E3%81%A7%E3%81%8A%E9%A6%B4%E6%9F%93%E3%81%BF%22%E3%82%A6%E3%82%B6%E3%83%AA%E3%83%BC%E3%83%9E%E3%83%B3%22%E8%A5%B2%E6%9D%A5%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88%E9%96%8B%E5%82%AC%E3%80%90%E3%81%9F%E3%82%81%E3%81%A6%E3%80%81%E3%81%9F%E3%82%81%E3%81%A6%E3%80%81%E4%B8%80%E6%B0%97%E3%81%AB%E3%83%96%E3%83%83%E5%A3%8A%E3%81%9B%21%21%21%E3%80%91%20%0D%0Ahttp%3A%2F%2Fcrashfever.com%2Finstall%20%23%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3,1,NULL
O0011,unconditional_completed,line://msg/text/%E3%83%86%E3%83%AC%E3%83%93CM%E5%85%A8%E5%9B%BD%E6%94%BE%E9%80%81%E8%A8%98%E5%BF%B5%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%9A%E3%83%BC%E3%83%B3%E4%B8%AD%EF%BC%81%0D%0A%E4%BB%8A%E3%80%81%E6%9C%80%E5%BC%B7%E3%81%AE%E3%83%96%E3%83%83%E5%A3%8A%E3%81%97%E3%82%B2%E3%83%BC%E3%83%A0%E2%98%85%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%81%8C%E8%B6%85%E3%82%A2%E3%83%84%E3%82%A4%EF%BC%81%0D%0A%E4%BB%8A%E3%81%AA%E3%82%89%E5%85%A8%E5%93%A1%E3%81%AB%E3%83%9D%E3%83%AA%E3%82%B4%E3%83%B3%E5%A4%A7%E9%87%8F%E9%85%8D%E5%B8%83%EF%BC%86%E3%81%8A%E9%A6%B4%E6%9F%93%E3%81%BF%22%E3%82%A6%E3%82%B6%E3%83%AA%E3%83%BC%E3%83%9E%E3%83%B3%22%E8%A5%B2%E6%9D%A5%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88%E3%82%82%E9%96%8B%E5%82%AC%EF%BC%81%EF%BC%81%0D%0A%E4%B8%80%E7%B7%92%E3%81%AB%E3%83%97%E3%83%AC%E3%82%A4%E3%81%97%E3%82%88%E3%81%86%EF%BC%81%EF%BC%81%EF%BC%81%E3%83%96%E3%83%83%E5%BF%AB%E6%84%9F%E3%83%BC%E2%99%AA%0D%0Ahttp%3A%2F%2Fcrashfever.com%2Finstall,1,NULL
O0012,specific_quest_clear,11224-1,NULL,NULL
O0013,unconditional_completed,https://www.youtube.com/watch?v=YbBAZ0vVzQY,1,NULL
O0014,unconditional_completed,https://www.youtube.com/watch?v=zhngda1mcQg,1,NULL
O0015,unconditional_completed,https://www.youtube.com/watch?v=Fd5pvekYymY,1,NULL
O0016,unconditional_completed,https://www.youtube.com/watch?v=k7E9o9gEcpY,1,NULL
O0017,unconditional_completed,https://www.youtube.com/watch?v=Wziv9VBOFQQ,1,NULL
O0018,unconditional_completed,https://www.youtube.com/watch?v=d8oH0XXHTzw,1,NULL
O0019,unconditional_completed,https://www.youtube.com/watch?v=T-3XyWYH1TQ,1,NULL
O0020,unconditional_completed,twitter://post?message=%E3%80%90%E5%85%A8%E5%9B%BDTVCM%E8%A8%98%E5%BF%B5%E2%98%85%E8%B6%85%E3%83%95%E3%82%A7%E3%82%B9%E9%96%8B%E5%82%AC%E4%B8%AD%E3%80%91%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%81%8C%E8%AA%87%E3%82%8B%E8%B6%85%E5%A4%A7%E4%BA%BA%E6%B0%97%E3%83%95%E3%82%A7%E3%82%B9%E9%99%90%E5%AE%9A%E6%9C%80%E5%BC%B7%E3%83%A6%E3%83%8B%E3%83%83%E3%83%88%E9%81%94%E3%81%8C%E4%B8%80%E5%90%8C%E3%81%AB%E5%8B%A2%E6%8F%83%E3%81%84%21%21%E3%80%8A%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3%E5%8F%B2%E4%B8%8A%E6%9C%80%E9%AB%98%E3%81%AE%E9%99%90%E5%AE%9A%E3%83%95%E3%82%A7%E3%82%B9%E3%80%8B%E3%82%92%E7%B5%B6%E5%AF%BE%E3%81%AB%E8%A6%8B%E9%80%83%E3%81%99%E3%81%AA%21%21%E3%80%90%E3%83%96%E3%83%83%E5%BF%AB%E6%84%9F%E3%83%BC%E2%99%AA%E3%80%91%20http%3A%2F%2Fcrashfever.com%2Finstall%20%23%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3,1,NULL
O0021,unconditional_completed,line://msg/text/%E3%80%90%E5%85%A8%E5%9B%BDTVCM%E8%A8%98%E5%BF%B5%E2%98%85%E8%B6%85%E3%83%95%E3%82%A7%E3%82%B9%E9%96%8B%E5%82%AC%E4%B8%AD%E3%80%91%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%81%8C%E8%AA%87%E3%82%8B%E8%B6%85%E5%A4%A7%E4%BA%BA%E6%B0%97%E3%83%95%E3%82%A7%E3%82%B9%E9%99%90%E5%AE%9A%E6%9C%80%E5%BC%B7%E3%83%A6%E3%83%8B%E3%83%83%E3%83%88%E9%81%94%E3%81%8C%E4%B8%80%E5%90%8C%E3%81%AB%E5%8B%A2%E6%8F%83%E3%81%84%21%21%E3%80%8A%E3%82%AF%E3%83%A9%E3%83%95%E3%82%A3%E5%8F%B2%E4%B8%8A%E6%9C%80%E9%AB%98%E3%81%AE%E9%99%90%E5%AE%9A%E3%83%95%E3%82%A7%E3%82%B9%E3%80%8B%E3%82%92%E7%B5%B6%E5%AF%BE%E3%81%AB%E8%A6%8B%E9%80%83%E3%81%99%E3%81%AA%21%21%E3%80%90%E3%83%96%E3%83%83%E5%BF%AB%E6%84%9F%E3%83%BC%E2%99%AA%E3%80%91%20http%3A%2F%2Fcrashfever.com%2Finstall,1,NULL
O0024,unconditional_completed,twitter://post?message=%E3%80%90%E4%BB%8A%E3%81%A0%E3%81%91%EF%BC%81%E3%80%91%E7%89%B9%E5%88%A5%E8%A8%98%E5%BF%B5%E3%83%A6%E3%83%8B%E3%83%83%E3%83%88%E3%80%8C%E3%83%A1%E3%83%93%E3%82%A6%E3%82%B9%E3%80%8D%E7%99%BB%E5%A0%B4%E4%B8%AD%EF%BC%81%0A200%E4%B8%87DL%E7%AA%81%E7%A0%B4%E3%81%AE%E8%B6%85%E7%B5%B6%E5%BF%AB%E6%84%9F%EF%BC%94%E4%BA%BA%E5%8D%94%E5%8A%9B%E3%83%91%E3%82%BA%E3%83%ABRPG%E3%80%8C%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%80%8D%E3%82%92%E4%BB%8A%E3%81%99%E3%81%90%E4%B8%80%E7%B7%92%E3%81%AB%E9%81%8A%E3%81%BC%E3%81%86%EF%BC%81%0A%23%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%0Ahttp%3A%2F%2Fcrashfever.com%2Finstall%20,1,NULL
O0025,unconditional_completed,line://msg/text/%E3%80%90%E4%BB%8A%E3%81%A0%E3%81%91%EF%BC%81%E3%80%91%E7%89%B9%E5%88%A5%E8%A8%98%E5%BF%B5%E3%83%A6%E3%83%8B%E3%83%83%E3%83%88%E3%80%8C%E3%83%A1%E3%83%93%E3%82%A6%E3%82%B9%E3%80%8D%E7%99%BB%E5%A0%B4%E4%B8%AD%EF%BC%81%0A200%E4%B8%87DL%E7%AA%81%E7%A0%B4%E3%81%AE%E8%B6%85%E7%B5%B6%E5%BF%AB%E6%84%9F%EF%BC%94%E4%BA%BA%E5%8D%94%E5%8A%9B%E3%83%91%E3%82%BA%E3%83%ABRPG%E3%80%8C%E3%82%AF%E3%83%A9%E3%83%83%E3%82%B7%E3%83%A5%E3%83%95%E3%82%A3%E3%83%BC%E3%83%90%E3%83%BC%E3%80%8D%E3%82%92%E4%BB%8A%E3%81%99%E3%81%90%E4%B8%80%E7%B7%92%E3%81%AB%E9%81%8A%E3%81%BC%E3%81%86%EF%BC%81%0Ahttp%3A%2F%2Fcrashfever.com%2Finstall%20,1,NULL
O0039,unconditional_completed,https://youtu.be/kZ5t443J25g,1,NULL
O0040,unconditional_completed,https://youtu.be/yd_u9p2ncU8,1,NULL
O0041,unconditional_completed,https://youtu.be/At2-WmN90xk,1,NULL
